<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE> 
BTC-USD,1,20180705,215900,6479.4300000
BTC-USD,1,20180705,220000,6479.9800000
BTC-USD,1,20180705,220100,6464.3600000
BTC-USD,1,20180705,220200,6469.1700000
BTC-USD,1,20180705,220300,6465.0000000
BTC-USD,1,20180705,220400,6465.0100000
BTC-USD,1,20180705,220500,6466.8900000
BTC-USD,1,20180705,220600,6469.9900000
BTC-USD,1,20180705,220700,6466.8900000
BTC-USD,1,20180705,220800,6466.8900000
BTC-USD,1,20180705,220900,6469.9800000
BTC-USD,1,20180705,221000,6469.9900000
BTC-USD,1,20180705,221100,6467.0100000
BTC-USD,1,20180705,221200,6467.0100000
BTC-USD,1,20180705,221300,6467.0100000
BTC-USD,1,20180705,221400,6469.9900000
BTC-USD,1,20180705,221500,6468.0100000
BTC-USD,1,20180705,221600,6465.0100000
BTC-USD,1,20180705,221700,6465.0100000
BTC-USD,1,20180705,221800,6468.5300000
BTC-USD,1,20180705,221900,6468.5200000
BTC-USD,1,20180705,222000,6469.9900000
BTC-USD,1,20180705,222100,6469.9800000
BTC-USD,1,20180705,222200,6469.9800000
BTC-USD,1,20180705,222300,6469.9800000
BTC-USD,1,20180705,222400,6474.0000000
BTC-USD,1,20180705,222500,6473.9900000
BTC-USD,1,20180705,222600,6474.0000000
BTC-USD,1,20180705,222700,6469.9800000
BTC-USD,1,20180705,222800,6469.9800000
BTC-USD,1,20180705,222900,6469.9800000
BTC-USD,1,20180705,223000,6469.9800000
BTC-USD,1,20180705,223100,6469.9900000
BTC-USD,1,20180705,223200,6469.9800000
BTC-USD,1,20180705,223300,6469.9900000
BTC-USD,1,20180705,223400,6462.2300000
BTC-USD,1,20180705,223500,6467.4400000
BTC-USD,1,20180705,223600,6471.4400000
BTC-USD,1,20180705,223700,6471.4400000
BTC-USD,1,20180705,223800,6471.4400000
BTC-USD,1,20180705,223900,6479.0000000
BTC-USD,1,20180705,224000,6478.9900000
BTC-USD,1,20180705,224100,6479.0000000
BTC-USD,1,20180705,224200,6484.0000000
BTC-USD,1,20180705,224300,6484.0000000
BTC-USD,1,20180705,224400,6483.9900000
BTC-USD,1,20180705,224500,6484.8800000
BTC-USD,1,20180705,224600,6484.8800000
BTC-USD,1,20180705,224700,6484.8800000
BTC-USD,1,20180705,224800,6483.9900000
BTC-USD,1,20180705,224900,6483.9300000
BTC-USD,1,20180705,225000,6483.9400000
BTC-USD,1,20180705,225100,6483.9400000
BTC-USD,1,20180705,225200,6499.1600000
BTC-USD,1,20180705,225300,6493.6000000
BTC-USD,1,20180705,225400,6491.6800000
BTC-USD,1,20180705,225500,6493.6000000
BTC-USD,1,20180705,225600,6493.6100000
BTC-USD,1,20180705,225700,6493.6100000
BTC-USD,1,20180705,225800,6493.6000000
BTC-USD,1,20180705,225900,6509.9900000
BTC-USD,1,20180705,230000,6505.0000000
BTC-USD,1,20180705,230100,6515.0800000
BTC-USD,1,20180705,230200,6510.5000000
BTC-USD,1,20180705,230300,6512.0200000
BTC-USD,1,20180705,230400,6507.6300000
BTC-USD,1,20180705,230500,6500.0200000
BTC-USD,1,20180705,230600,6500.0200000
BTC-USD,1,20180705,230700,6490.0100000
BTC-USD,1,20180705,230800,6494.4000000
BTC-USD,1,20180705,230900,6494.0000000
BTC-USD,1,20180705,231000,6491.0100000
BTC-USD,1,20180705,231100,6491.0000000
BTC-USD,1,20180705,231200,6489.2900000
BTC-USD,1,20180705,231300,6486.8600000
BTC-USD,1,20180705,231400,6486.8500000
BTC-USD,1,20180705,231500,6486.8600000
BTC-USD,1,20180705,231600,6486.8500000
BTC-USD,1,20180705,231700,6486.8600000
BTC-USD,1,20180705,231800,6491.0000000
BTC-USD,1,20180705,231900,6490.9900000
BTC-USD,1,20180705,232000,6503.4900000
BTC-USD,1,20180705,232100,6506.5300000
BTC-USD,1,20180705,232200,6508.2500000
BTC-USD,1,20180705,232300,6499.1800000
BTC-USD,1,20180705,232400,6502.2000000
BTC-USD,1,20180705,232500,6498.9000000
BTC-USD,1,20180705,232600,6502.0100000
BTC-USD,1,20180705,232700,6503.2100000
BTC-USD,1,20180705,232800,6500.0000000
BTC-USD,1,20180705,232900,6500.0100000
BTC-USD,1,20180705,233000,6500.0100000
BTC-USD,1,20180705,233100,6505.3700000
BTC-USD,1,20180705,233200,6500.0100000
BTC-USD,1,20180705,233300,6500.0100000
BTC-USD,1,20180705,233400,6507.1600000
BTC-USD,1,20180705,233500,6500.0800000
BTC-USD,1,20180705,233600,6500.0600000
BTC-USD,1,20180705,233700,6500.3900000
BTC-USD,1,20180705,233800,6500.3800000
BTC-USD,1,20180705,233900,6500.0600000
BTC-USD,1,20180705,234000,6500.0600000
BTC-USD,1,20180705,234100,6495.5100000
BTC-USD,1,20180705,234200,6495.5100000
BTC-USD,1,20180705,234300,6495.5100000
BTC-USD,1,20180705,234400,6495.5100000
BTC-USD,1,20180705,234500,6491.8900000
BTC-USD,1,20180705,234600,6495.5200000
BTC-USD,1,20180705,234700,6495.5200000
BTC-USD,1,20180705,234800,6501.0900000
BTC-USD,1,20180705,234900,6501.0900000
BTC-USD,1,20180705,235000,6504.7700000
BTC-USD,1,20180705,235100,6503.5100000
BTC-USD,1,20180705,235200,6504.6100000
BTC-USD,1,20180705,235300,6504.6100000
BTC-USD,1,20180705,235400,6504.6100000
BTC-USD,1,20180705,235500,6504.6000000
BTC-USD,1,20180705,235600,6504.6000000
BTC-USD,1,20180705,235700,6504.6100000
BTC-USD,1,20180705,235800,6504.6000000
BTC-USD,1,20180705,235900,6504.6100000
BTC-USD,1,20180706,000000,6504.6000000
BTC-USD,1,20180706,000100,6504.6000000
BTC-USD,1,20180706,000200,6500.8000000
BTC-USD,1,20180706,000300,6502.1000000
BTC-USD,1,20180706,000400,6500.6700000
BTC-USD,1,20180706,000500,6500.6700000
BTC-USD,1,20180706,000600,6501.0000000
BTC-USD,1,20180706,000700,6504.5700000
BTC-USD,1,20180706,000800,6502.2000000
BTC-USD,1,20180706,000900,6500.0100000
BTC-USD,1,20180706,001000,6495.1100000
BTC-USD,1,20180706,001100,6493.5000000
BTC-USD,1,20180706,001200,6491.9300000
BTC-USD,1,20180706,001300,6490.0000000
BTC-USD,1,20180706,001400,6485.7900000
BTC-USD,1,20180706,001500,6487.8600000
BTC-USD,1,20180706,001600,6483.0100000
BTC-USD,1,20180706,001700,6485.8600000
BTC-USD,1,20180706,001800,6480.4800000
BTC-USD,1,20180706,001900,6476.4500000
BTC-USD,1,20180706,002000,6476.4500000
BTC-USD,1,20180706,002100,6476.4500000
BTC-USD,1,20180706,002200,6478.5100000
BTC-USD,1,20180706,002300,6484.4800000
BTC-USD,1,20180706,002400,6492.9700000
BTC-USD,1,20180706,002500,6493.5000000
BTC-USD,1,20180706,002600,6497.0600000
BTC-USD,1,20180706,002700,6497.0700000
BTC-USD,1,20180706,002800,6497.0700000
BTC-USD,1,20180706,002900,6497.0700000
BTC-USD,1,20180706,003000,6497.0700000
