<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
D,1,20150213,203900,18004.3300000
D,1,20150213,204000,18005.2300000
D,1,20150213,204100,18006.3800000
D,1,20150213,204200,18006.0300000
D,1,20150213,204300,18009.0800000
D,1,20150213,204400,18007.8900000
D,1,20150213,204500,18010.3000000
D,1,20150213,204600,18007.9900000
D,1,20150213,204700,18007.5100000
D,1,20150213,204800,18003.7500000
D,1,20150213,204900,18004.4900000
D,1,20150213,205000,18002.2400000
D,1,20150213,205100,18004.7400000
D,1,20150213,205200,18006.3200000
D,1,20150213,205300,18007.9000000
D,1,20150213,205400,18004.4900000
D,1,20150213,205500,18000.9000000
D,1,20150213,205600,18001.2100000
D,1,20150213,205700,18000.7300000
D,1,20150213,205800,18002.0100000
D,1,20150213,205900,18000.8900000
D,1,20150213,210000,17998.4800000
D,1,20150213,210100,18003.6200000
D,1,20150213,210200,18004.1300000
D,1,20150213,210300,17998.3800000
D,1,20150213,210400,17999.0900000
D,1,20150213,210500,18001.6900000
D,1,20150213,210600,18003.3600000
D,1,20150213,210700,18004.6300000
D,1,20150213,210800,18000.6300000
D,1,20150213,210900,18002.3400000
D,1,20150213,211000,18004.7100000
D,1,20150213,211100,18004.5200000
D,1,20150213,211200,18003.8800000
D,1,20150213,211300,18007.0200000
D,1,20150213,211400,18005.9700000
D,1,20150213,211500,18002.1400000
D,1,20150213,211600,17999.9000000
D,1,20150213,211700,18000.0600000
D,1,20150213,211800,18001.3100000
D,1,20150213,211900,18005.0700000
D,1,20150213,212000,18004.9700000
D,1,20150213,212100,18002.0500000
D,1,20150213,212200,17998.6100000
D,1,20150213,212300,17995.5900000
D,1,20150213,212400,17992.5300000
D,1,20150213,212500,17993.7600000
D,1,20150213,212600,17992.5100000
D,1,20150213,212700,17985.0400000
D,1,20150213,212800,17984.7100000
D,1,20150213,212900,17986.3000000
D,1,20150213,213000,17982.8600000
D,1,20150213,213100,17981.5600000
D,1,20150213,213200,17980.7200000
D,1,20150213,213300,17970.6000000
D,1,20150213,213400,17974.3000000
D,1,20150213,213500,17975.3800000
D,1,20150213,213600,17971.5700000
D,1,20150213,213700,17963.8000000
D,1,20150213,213800,17968.9400000
D,1,20150213,213900,17970.5800000
D,1,20150213,214000,17977.9800000
D,1,20150213,214100,17979.6100000
D,1,20150213,214200,17977.2300000
D,1,20150213,214300,17964.6700000
D,1,20150213,214400,17968.3600000
D,1,20150213,214500,17973.1800000
D,1,20150213,214600,17971.4800000
D,1,20150213,214700,17972.0200000
D,1,20150213,214800,17970.2900000
D,1,20150213,214900,17977.1000000
D,1,20150213,215000,17978.0300000
D,1,20150213,215100,17983.9500000
D,1,20150213,215200,17981.9800000
D,1,20150213,215300,17981.9300000
D,1,20150213,215400,17984.5300000
D,1,20150213,215500,17986.1800000
D,1,20150213,215600,17985.0500000
D,1,20150213,215700,17980.0800000
D,1,20150213,215800,17979.2500000
D,1,20150213,215900,17980.1200000
D,1,20150213,220000,17979.3100000
D,1,20150213,220100,17980.6500000
D,1,20150213,220200,17981.9500000
D,1,20150213,220300,17980.1800000
D,1,20150213,220400,17976.2000000
