<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE> 
BTC-USD,1,20170617,131400,2539.9900000
BTC-USD,1,20170617,131500,2539.9000000
BTC-USD,1,20170617,131600,2539.9700000
BTC-USD,1,20170617,131700,2539.9800000
BTC-USD,1,20170617,131800,2539.9700000
BTC-USD,1,20170617,131900,2546.1000000
BTC-USD,1,20170617,132000,2547.8900000
BTC-USD,1,20170617,132100,2549.4000000
BTC-USD,1,20170617,132200,2549.3900000
BTC-USD,1,20170617,132300,2549.0700000
BTC-USD,1,20170617,132400,2549.4000000
BTC-USD,1,20170617,132500,2549.4000000
BTC-USD,1,20170617,132600,2549.4000000
BTC-USD,1,20170617,132700,2549.4000000
BTC-USD,1,20170617,132800,2550.0000000
BTC-USD,1,20170617,132900,2550.0000000
BTC-USD,1,20170617,133000,2550.0000000
BTC-USD,1,20170617,133100,2553.0100000
BTC-USD,1,20170617,133200,2558.6900000
BTC-USD,1,20170617,133300,2560.2500000
BTC-USD,1,20170617,133400,2564.3900000
BTC-USD,1,20170617,133500,2562.1500000
BTC-USD,1,20170617,133600,2564.0000000
BTC-USD,1,20170617,133700,2564.0000000
BTC-USD,1,20170617,133800,2564.0000000
BTC-USD,1,20170617,133900,2564.0000000
BTC-USD,1,20170617,134000,2564.0000000
BTC-USD,1,20170617,134100,2564.0000000
BTC-USD,1,20170617,134200,2564.0000000
BTC-USD,1,20170617,134300,2564.0000000
BTC-USD,1,20170617,134400,2563.9900000
BTC-USD,1,20170617,134500,2564.0000000
